iteration,0,1,2,3,4,5,6,7
389,124,453,88,8,4,2,0,0
390,124,453,89,6,5,2,0,0
391,124,453,88,8,4,2,0,0
392,124,452,89,9,3,2,0,0
393,124,452,89,9,3,2,0,0
394,124,451,91,8,3,2,0,0
395,124,450,93,7,3,2,0,0
396,124,453,88,8,4,2,0,0
397,124,453,88,8,4,2,0,0
398,124,452,90,7,4,2,0,0
399,124,452,90,7,4,2,0,0
400,124,451,91,8,3,2,0,0
401,124,451,91,8,3,2,0,0
402,124,451,92,6,4,2,0,0
403,124,450,93,6,5,1,0,0
404,124,450,92,8,4,1,0,0
405,124,450,91,10,3,1,0,0
406,124,450,91,10,3,1,0,0
407,124,451,91,7,5,1,0,0
408,124,451,92,6,4,2,0,0
409,124,451,91,8,3,2,0,0
410,124,452,89,9,3,2,0,0
411,124,452,90,7,4,2,0,0
412,124,452,90,7,4,2,0,0
413,124,452,90,7,4,2,0,0
414,124,452,89,9,3,2,0,0
415,124,453,87,10,3,2,0,0
416,124,453,87,10,3,2,0,0
417,124,452,90,7,4,2,0,0
418,124,451,91,8,3,2,0,0
419,124,452,90,7,4,2,0,0
420,124,451,92,6,4,2,0,0
421,124,451,91,8,3,2,0,0
422,124,450,92,8,4,1,0,0
423,124,450,92,8,4,1,0,0
424,124,451,90,9,4,1,0,0
425,124,451,90,9,4,1,0,0
426,124,451,91,7,5,1,0,0
427,124,451,92,6,4,2,0,0
428,124,451,91,8,3,2,0,0
429,124,453,87,10,3,2,0,0
430,124,452,90,7,4,2,0,0
431,124,452,90,7,4,2,0,0
432,124,452,89,9,3,2,0,0
433,124,453,88,8,4,2,0,0
434,124,452,89,9,3,2,0,0
435,124,453,87,10,3,2,0,0
436,124,452,89,9,3,2,0,0
437,124,452,89,9,3,2,0,0
438,124,453,88,8,4,2,0,0
439,124,451,91,8,3,2,0,0
440,124,451,92,6,4,2,0,0
441,124,451,91,8,3,2,0,0
442,124,452,90,7,4,2,0,0
443,124,453,88,8,4,2,0,0
444,124,452,89,9,3,2,0,0
445,124,452,90,7,4,2,0,0
446,124,453,88,8,4,2,0,0
447,124,453,88,8,4,2,0,0
448,124,452,90,7,4,2,0,0
449,124,452,90,7,4,2,0,0
450,124,453,88,8,4,2,0,0
451,124,452,90,7,4,2,0,0
452,124,452,90,7,4,2,0,0
453,124,452,90,7,4,2,0,0
454,124,453,87,10,3,2,0,0
455,124,451,91,7,5,1,0,0
456,124,452,88,10,4,1,0,0
457,124,450,92,8,4,1,0,0
458,124,451,90,9,4,1,0,0
459,124,451,91,7,5,1,0,0
460,124,452,89,8,5,1,0,0
461,124,452,89,8,5,1,0,0
462,124,451,90,9,4,1,0,0
463,124,452,89,9,3,2,0,0
464,124,451,92,6,4,2,0,0
465,124,450,92,8,4,1,0,0
466,124,450,92,8,4,1,0,0
467,124,451,92,6,4,2,0,0
468,124,452,90,7,4,2,0,0
469,124,453,87,9,5,1,0,0
470,124,455,85,8,5,2,0,0
471,124,452,89,9,3,2,0,0
472,124,450,92,8,4,1,0,0
473,124,450,93,6,5,1,0,0
474,124,451,91,7,5,1,0,0
475,124,452,89,9,3,2,0,0
476,124,453,88,8,4,2,0,0
477,124,451,91,8,3,2,0,0
478,124,451,92,6,4,2,0,0
479,124,452,90,7,4,2,0,0
480,124,450,93,6,5,1,0,0
481,125,449,92,7,5,1,0,0
482,125,450,89,10,4,1,0,0
483,125,449,91,9,4,1,0,0
484,125,450,90,9,3,2,0,0
485,126,448,90,10,4,1,0,0
486,126,448,91,8,5,1,0,0
487,126,448,91,8,5,1,0,0
488,126,449,88,11,4,1,0,0
489,126,448,90,10,4,1,0,0
490,126,449,88,11,4,1,0,0
491,126,450,88,9,4,2,0,0
492,126,449,90,8,4,2,0,0
493,126,448,91,8,5,1,0,0
494,126,449,88,11,4,1,0,0
495,126,448,91,8,5,1,0,0
496,126,450,88,9,4,2,0,0
497,126,451,85,12,3,2,0,0
498,126,451,87,8,5,2,0,0
499,126,450,88,8,6,1,0,0
500,126,451,86,10,4,2,0,0
501,126,451,85,12,3,2,0,0
502,126,450,88,9,4,2,0,0
503,126,448,91,8,5,1,0,0
504,126,449,89,9,5,1,0,0
505,126,448,91,8,5,1,0,0
506,126,448,91,8,5,1,0,0
507,126,447,93,7,5,1,0,0
508,126,449,88,11,4,1,0,0
509,127,449,88,9,4,1,1,0
510,128,446,90,9,4,2,0,0
511,128,445,91,10,3,2,0,0
512,128,444,94,7,4,2,0,0
513,128,446,90,10,3,1,1,0
514,129,445,91,7,5,1,1,0
515,130,441,95,7,4,1,1,0
